0,1,2,3,4,5,6,7,8,9,10
soda,shopping bags,,,,,,,,,
canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd,,,,
beef,root vegetables,,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
butter,red/blush wine,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
chicken,shopping bags,,,,,,,,,
root vegetables,white bread,pasta,bottled beer,,,,,,,
pork,brown bread,,,,,,,,,
photo/film,domestic eggs,cocoa drinks,,,,,,,,
onions,bottled water,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pet care,chocolate,,,,,,,,,
beef,butter,,,,,,,,,
pastry,bottled beer,,,,,,,,,
yogurt,whole milk,,,,,,,,,
whole milk,cat food,,,,,,,,,
specialty bar,newspapers,,,,,,,,,
canned beer,brown bread,napkins,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
other vegetables,other vegetables,berries,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
soda,flour,pudding powder,,,,,,,,
cream cheese ,dessert,,,,,,,,,
chicken,other vegetables,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
yogurt,yogurt,,,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
grapes,root vegetables,,,,,,,,,
photo/film,white bread,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
frankfurter,root vegetables,sugar,whole milk,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
sauces,yogurt,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
tropical fruit,pot plants,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
whole milk,flour,berries,,,,,,,,
bottled beer,curd,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
butter,long life bakery product,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
brown bread,whole milk,frozen vegetables,frozen meals,,,,,,,
shopping bags,sausage,,,,,,,,,
sausage,sugar,,,,,,,,,
sausage,soda,,,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
whole milk,popcorn,,,,,,,,,
root vegetables,hygiene articles,soda,,,,,,,,
soda,white wine,,,,,,,,,
male cosmetics,curd,,,,,,,,,
photo/film,whole milk,,,,,,,,,
bottled beer,napkins,whole milk,,,,,,,,
white bread,hygiene articles,,,,,,,,,
newspapers,flour,,,,,,,,,
butter,berries,cereals,,,,,,,,
whole milk,soda,,,,,,,,,
brown bread,rolls/buns,soda,whole milk,,,,,,,
tropical fruit,dishes,other vegetables,,,,,,,,
canned beer,sugar,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
yogurt,beverages,,,,,,,,,
butter milk,brown bread,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
brown bread,dessert,,,,,,,,,
yogurt,whole milk,,,,,,,,,
meat,curd,,,,,,,,,
yogurt,bottled beer,napkins,,,,,,,,
ham,UHT-milk,,,,,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
chicken,yogurt,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,soups,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
bottled beer,yogurt,,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
chicken,other vegetables,,,,,,,,,
root vegetables,pastry,,,,,,,,,
bottled beer,soda,candy,,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
soap,brown bread,,,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
whole milk,whole milk,,,,,,,,,
soda,curd,,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
sausage,sausage,pastry,bottled water,,,,,,,
long life bakery product,soda,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
whole milk,butter,,,,,,,,,
specialty bar,candy,,,,,,,,,
sausage,dessert,,,,,,,,,
curd,pork,,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
citrus fruit,whole milk,,,,,,,,,
beef,citrus fruit,tropical fruit,coffee,fruit/vegetable juice,specialty chocolate,,,,,
whole milk,other vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
light bulbs,whole milk,,,,,,,,,
dessert,mayonnaise,,,,,,,,,
tropical fruit,UHT-milk,whole milk,,,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
root vegetables,frozen fish,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
ice cream,grapes,,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
pork,root vegetables,,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
cling film/bags,domestic eggs,domestic eggs,,,,,,,,
pork,rolls/buns,brown bread,yogurt,,,,,,,
salty snack,pastry,oil,,,,,,,,
specialty chocolate,soda,,,,,,,,,
coffee,bottled water,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
butter,citrus fruit,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
pip fruit,candles,,,,,,,,,
pork,canned beer,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
brown bread,soda,,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
whole milk,flower soil/fertilizer,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
frankfurter,soda,whole milk,whole milk,flour,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
sausage,soda,,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
frankfurter,margarine,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
margarine,bottled water,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
onions,frozen dessert,,,,,,,,,
curd,cling film/bags,candy,rolls/buns,,,,,,,
rolls/buns,sugar,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
pasta,root vegetables,,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
frankfurter,citrus fruit,whole milk,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,napkins,,,,,,,,,
other vegetables,frankfurter,rolls/buns,coffee,ice cream,,,,,,
beef,newspapers,,,,,,,,,
whole milk,butter,,,,,,,,,
sausage,white bread,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
soda,dishes,,,,,,,,,
butter,margarine,,,,,,,,,
organic sausage,herbs,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
frozen chicken,white wine,,,,,,,,,
brown bread,canned beer,,,,,,,,,
citrus fruit,soda,,,,,,,,,
berries,white wine,,,,,,,,,
soda,whole milk,,,,,,,,,
margarine,margarine,,,,,,,,,
other vegetables,liquor,,,,,,,,,
condensed milk,waffles,domestic eggs,,,,,,,,
bottled water,bottled beer,,,,,,,,,
napkins,newspapers,,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
long life bakery product,zwieback,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,jam,,,,,,,,,
other vegetables,newspapers,chewing gum,dessert,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
tropical fruit,waffles,,,,,,,,,
frankfurter,pastry,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
soda,soda,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,berries,specialty chocolate,white bread,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
root vegetables,pastry,,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
semi-finished bread,dish cleaner,,,,,,,,,
specialty chocolate,specialty cheese,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
dog food,sausage,dessert,shopping bags,,,,,,,
coffee,hamburger meat,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
specialty cheese,butter,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
pip fruit,rolls/buns,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
beef,root vegetables,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
brown bread,pasta,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
sausage,curd,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
ham,brown bread,,,,,,,,,
beef,brown bread,,,,,,,,,
soda,domestic eggs,,,,,,,,,
curd,frozen vegetables,,,,,,,,,
frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
canned vegetables,napkins,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
shopping bags,curd,,,,,,,,,
beef,root vegetables,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
sausage,chicken,,,,,,,,,
rolls/buns,butter,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
yogurt,pip fruit,yogurt,,,,,,,,
sausage,canned vegetables,margarine,,,,,,,,
berries,whole milk,,,,,,,,,
beef,beef,,,,,,,,,
yogurt,yogurt,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
beef,berries,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
whole milk,napkins,,,,,,,,,
frankfurter,shopping bags,frozen vegetables,,,,,,,,
canned beer,brown bread,,,,,,,,,
pastry,yogurt,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
whole milk,frozen vegetables,,,,,,,,,
dessert,whole milk,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
root vegetables,oil,soda,,,,,,,,
other vegetables,white bread,,,,,,,,,
cake bar,whipped/sour cream,,,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
pip fruit,hygiene articles,domestic eggs,hard cheese,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
oil,shopping bags,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
sausage,beverages,,,,,,,,,
butter,whole milk,,,,,,,,,
soda,oil,,,,,,,,,
sausage,berries,,,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
butter,tropical fruit,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
sausage,other vegetables,tropical fruit,mayonnaise,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
sugar,whole milk,fruit/vegetable juice,,,,,,,,
tropical fruit,onions,,,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
napkins,white bread,,,,,,,,,
butter,newspapers,,,,,,,,,
pork,frozen meals,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
sausage,rolls/buns,pot plants,snack products,,,,,,,
yogurt,chicken,UHT-milk,bottled water,,,,,,,
whole milk,pet care,herbs,soda,cat food,whole milk,,,,,
pastry,curd,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
long life bakery product,shopping bags,,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
curd,soda,,,,,,,,,
ham,pastry,,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
chewing gum,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
citrus fruit,light bulbs,,,,,,,,,
meat,canned beer,,,,,,,,,
pastry,rolls/buns,sliced cheese,tropical fruit,liquor,hygiene articles,dental care,napkins,,,
turkey,white bread,,,,,,,,,
chicken,yogurt,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
sausage,curd,,,,,,,,,
hamburger meat,pork,,,,,,,,,
sausage,chocolate,specialty chocolate,cocoa drinks,,,,,,,
UHT-milk,pip fruit,,,,,,,,,
white wine,whole milk,,,,,,,,,
frankfurter,pet care,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
sugar,whole milk,,,,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
chocolate,bottled water,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
pastry,seasonal products,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
curd,curd,,,,,,,,,
curd,salty snack,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
meat,butter milk,,,,,,,,,
beef,oil,,,,,,,,,
berries,other vegetables,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
meat,whole milk,ready soups,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
soda,zwieback,,,,,,,,,
beef,bottled water,soda,,,,,,,,
chicken,flower (seeds),,,,,,,,,
red/blush wine,pastry,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,cream,,,,,,,,,
berries,pip fruit,,,,,,,,,
coffee,other vegetables,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
pork,brown bread,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
rolls/buns,curd,cat food,,,,,,,,
canned beer,other vegetables,,,,,,,,,
sausage,shopping bags,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
napkins,napkins,,,,,,,,,
root vegetables,rum,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
other vegetables,napkins,,,,,,,,,
rolls/buns,chicken,,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
bottled water,bottled beer,canned fish,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
canned beer,photo/film,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
soda,other vegetables,soda,,,,,,,,
coffee,cling film/bags,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
cream cheese ,frozen vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
pork,dental care,,,,,,,,,
tropical fruit,soda,,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
curd,newspapers,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
sausage,house keeping products,,,,,,,,,
cat food,butter,,,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
pastry,bottled water,,,,,,,,,
turkey,bottled water,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
pastry,coffee,newspapers,,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
processed cheese,roll products ,,,,,,,,,
misc. beverages,waffles,,,,,,,,,
sausage,detergent,,,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
whole milk,chocolate,,,,,,,,,
rolls/buns,soda,,,,,,,,,
UHT-milk,butter,soda,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,sugar,,,,,,,,,
other vegetables,pasta,whole milk,,,,,,,,
tropical fruit,butter,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
newspapers,root vegetables,margarine,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
dessert,tropical fruit,pip fruit,hard cheese,specialty fat,,,,,,
oil,shopping bags,,,,,,,,,
beef,spices,,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
yogurt,citrus fruit,,,,,,,,,
pip fruit,detergent,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
root vegetables,napkins,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
pot plants,shopping bags,coffee,,,,,,,,
dessert,brown bread,,,,,,,,,
frankfurter,onions,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
specialty bar,roll products ,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
beef,condensed milk,,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
shopping bags,detergent,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
flour,dessert,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pot plants,bottled water,,,,,,,,,
hamburger meat,root vegetables,bottled beer,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
bottled beer,newspapers,,,,,,,,,
beef,whole milk,,,,,,,,,
ham,Instant food products,,,,,,,,,
hard cheese,curd,,,,,,,,,
pip fruit,yogurt,syrup,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
ice cream,soda,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
chicken,dessert,,,,,,,,,
oil,chicken,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
white wine,frozen potato products,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
red/blush wine,bottled beer,yogurt,pip fruit,mustard,,,,,,
ham,rolls/buns,,,,,,,,,
bottled water,butter,,,,,,,,,
other vegetables,salt,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
flour,yogurt,,,,,,,,,
berries,salty snack,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,citrus fruit,butter milk,specialty bar,,,,,,,
whole milk,canned beer,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
whole milk,butter milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
liver loaf,whipped/sour cream,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
domestic eggs,cat food,,,,,,,,,
sausage,whole milk,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
UHT-milk,candles,,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
cookware,spread cheese,,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,butter,,,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
margarine,sugar,,,,,,,,,
processed cheese,waffles,,,,,,,,,
salt,domestic eggs,,,,,,,,,
frankfurter,butter,,,,,,,,,
sausage,chicken,,,,,,,,,
soda,hard cheese,,,,,,,,,
mustard,curd cheese,,,,,,,,,
soda,root vegetables,,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
whole milk,other vegetables,,,,,,,,,
newspapers,canned beer,,,,,,,,,
sausage,candy,,,,,,,,,
soda,seasonal products,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
soda,other vegetables,,,,,,,,,
sausage,chicken,domestic eggs,curd,pastry,,,,,,
shopping bags,white wine,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
coffee,soda,,,,,,,,,
soda,cereals,,,,,,,,,
beef,root vegetables,,,,,,,,,
grapes,other vegetables,,,,,,,,,
soda,napkins,,,,,,,,,
female sanitary products,other vegetables,,,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
curd,coffee,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
soda,berries,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
rolls/buns,brandy,,,,,,,,,
yogurt,flower (seeds),,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
pastry,rolls/buns,,,,,,,,,
bottled water,dessert,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
yogurt,whole milk,,,,,,,,,
curd,sausage,,,,,,,,,
spread cheese,pork,,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
pork,cat food,,,,,,,,,
bottled water,newspapers,,,,,,,,,
butter milk,beverages,butter,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
root vegetables,white bread,,,,,,,,,
pastry,brown bread,,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
whole milk,grapes,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
bottled beer,chocolate,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,beverages,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
root vegetables,herbs,cereals,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
citrus fruit,pork,,,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
beef,other vegetables,,,,,,,,,
rolls/buns,soda,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
bottled beer,pork,,,,,,,,,
hard cheese,pastry,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
whole milk,canned fish,,,,,,,,,
chicken,shopping bags,,,,,,,,,
turkey,whole milk,,,,,,,,,
soda,shopping bags,coffee,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
meat,root vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,napkins,,,,,,,,,
specialty chocolate,soft cheese,,,,,,,,,
soft cheese,frozen vegetables,cream cheese ,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
dishes,sweet spreads,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
sausage,whole milk,long life bakery product,UHT-milk,flour,chocolate,,,,,
beef,chicken,,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
whole milk,oil,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
whole milk,coffee,,,,,,,,,
root vegetables,butter,dessert,,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
bottled water,specialty bar,,,,,,,,,
pork,whole milk,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
sausage,margarine,,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
photo/film,cat food,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
dog food,white bread,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
citrus fruit,soda,,,,,,,,,
canned beer,frankfurter,brown bread,pip fruit,frozen vegetables,pudding powder,,,,,
newspapers,soda,canned beer,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
chewing gum,butter,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
other vegetables,yogurt,,,,,,,,,
oil,bottled water,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
tropical fruit,other vegetables,hygiene articles,,,,,,,,
